Country Name,Country Code,"Population2023","GrowthRate2023","FertilityRate2022","LifeExpectancy2022","DeathRate2022","MortalityRate2022","NetMigration2022"
Guyana,GUY,813834,0.006316107062218856,2.369,65.989,9.762,22.3,-3900.0
High income,HIC,1403021503,0.005072650000685686,1.5008665942889574,79.50211314710286,10.289113723987164,4.1,4692462.5
"Hong Kong SAR, China",HKG,7536100,0.025864063925075783,0.7009999999999998,83.6609756097561,8.699999999999998,,19999.0
Honduras,HND,10593798,0.015426067252891418,2.34,70.728,5.404,13.8,-5204.0
Heavily indebted poor countries (HIPC),HPC,907995430,0.026809239862276124,4.546536004236926,62.843246261160665,7.608197347683651,44.45085947078573,-519294.0
Croatia,HRV,3853200,-0.0006330983615954189,1.53,77.57560975609756,14.8,3.9,-2000.0
Haiti,HTI,11724763,0.012064484096498518,2.773,63.728,8.48,44.0,-32029.5
Hungary,HUN,9589872,-0.005514439003103555,1.52,76.01707317073172,14.2,3.3,229680.5
IBRD only,IBD,4937047867,0.005027955060938672,1.8167599544052249,72.93504645909027,8.249977445996091,17.43454026325425,-2111940.0
IDA & IBRD total,IBT,6819750360,0.009719358972261505,2.375316248584436,70.511910539194,8.124600596487399,30.13982691590999,-2796834.5
IDA total,IDA,1882702493,0.022232315331469632,3.866854647893848,64.04892352081865,7.790194291677269,45.37924517574962,-684894.5
IDA blend,IDB,622553200,0.021679566272462255,4.020457119987479,61.28382244405371,9.013930533720334,54.0608787382931,-287587.0
Indonesia,IDN,277534122,0.0073784868247046545,2.153,68.25,9.590000000000002,18.1,-49997.0
IDA only,IDX,1260149293,0.022505611456576924,3.792587151977471,65.41607448651483,7.18514147855407,40.982183287504256,-397307.5
Isle of Man,IMN,84710,0.0022598468983305864,1.571,80.762,10.461,,340.0
India,IND,1428627663,0.008082632537950163,2.011,67.744,9.074,25.5,-486719.5
Ireland,IRL,5262382,0.02637166312020089,1.7,83.05609756097562,6.9,2.7,9999.0
"Iran, Islamic Rep.",IRN,89172767,0.007026459569938304,1.681,74.55599999999998,6.152,10.3,-39998.0
Iraq,IRQ,45504560,0.022663503125058822,3.445,71.336,4.433,20.0,-6000.0
Iceland,ISL,393600,0.03035840032669901,1.589,82.17073170731707,7.0,2.0,380.0
Israel,ISR,9756700,0.020842270468218738,2.89,82.7,5.4,2.7,9999.0
Italy,ITA,58761146,-0.003041698460776288,1.24,82.9,12.1,2.2,58496.0
Jamaica,JAM,2825544,-0.0006483040641556137,1.34,70.629,8.787,16.1,-10999.0
Jordan,JOR,11337052,0.00453514036003777,2.786,74.215,3.957,12.2,-149292.0
Japan,JPN,124516650,-0.004861850577265625,1.26,83.99634146341462,12.9,1.7,99994.0
Kazakhstan,KAZ,19900177,0.01350619962339672,3.05,74.44,6.8,8.699999999999998,0.0
Kenya,KEN,55100586,0.019862093530280237,3.296,62.055,7.83,30.5,-10000.0
Kyrgyz Republic,KGZ,7100800,0.018050437999111105,2.8,72.04878048780488,4.5,15.4,-9999.0
Cambodia,KHM,16944826,0.01055496586859528,2.322,69.896,6.785,20.3,-29998.0
Kiribati,KIR,133515,0.017396671543525866,3.271,67.661,6.182,43.9,-400.0
St. Kitts and Nevis,KNA,47755,0.002056361080219116,1.512,72.027,10.078,13.3,20.0
"Korea, Rep.",KOR,51712619,0.0007750727470121621,0.778,82.68048780487804,7.3,2.4,29998.0
Kuwait,KWT,4310108,0.009659458128644216,2.092,80.26399999999998,2.606,7.4,11999.0
