,Player,Actual,Adjusted,Year
3774,Darrell Armstrong,"$4,125,000","$7,354,289",2000
3775,Chris Mullin,"$4,079,100","$7,272,456",2000
3776,Bobby Phills,"$4,060,000","$7,238,403",2000
3777,Robert Pack,"$4,050,000","$7,220,574",2000
3778,Armen Gilliam,"$4,019,200","$7,165,662",2000
3779,John Starks,"$4,000,000","$7,131,432",2000
3780,Danny Ferry,"$4,000,000","$7,131,432",2000
3781,Mark Jackson,"$4,000,000","$7,131,432",2000
3782,Dee Brown,"$4,000,000","$7,131,432",2000
3783,Bryon Russell,"$4,000,000","$7,131,432",2000
3784,Stacey Augmon,"$3,960,000","$7,060,117",2000
3785,Brent Barry,"$3,960,000","$7,060,117",2000
3786,Jason Caffey,"$3,937,500","$7,020,003",2000
3787,Tim Duncan,"$3,858,240","$6,878,694",2000
3788,Vitaly Potapenko,"$3,810,000","$6,792,688",2000
3789,Bob Sura,"$3,760,000","$6,703,546",2000
3790,Walt Williams,"$3,750,000","$6,685,717",2000
3791,Scott Williams,"$3,750,000","$6,685,717",2000
3792,Michael Smith,"$3,660,000","$6,525,260",2000
3793,Dan Majerle,"$3,600,000","$6,418,288",2000
3794,Corliss Williamson,"$3,560,000","$6,346,974",2000
3795,Dana Barros,"$3,500,000","$6,240,003",2000
3796,Cedric Ceballos,"$3,500,000","$6,240,003",2000
3797,Sam Cassell,"$3,500,000","$6,240,003",2000
3798,Michael Olowokandi,"$3,456,240","$6,161,985",2000
3799,Keith Van Horn,"$3,451,920","$6,154,283",2000
3800,Elton Brand,"$3,375,960","$6,018,857",2000
3801,Eric Williams,"$3,336,000","$5,947,614",2000
3802,Voshon Lenard,"$3,308,516","$5,898,614",2000
3803,Doug West,"$3,295,000","$5,874,517",2000
3804,Travis Best,"$3,250,000","$5,794,288",2000
3805,Avery Johnson,"$3,200,000","$5,705,145",2000
3806,Michael Stewart,"$3,200,000","$5,705,145",2000
3807,Derek Strong,"$3,159,000","$5,632,048",2000
3808,Rex Chapman,"$3,150,000","$5,616,002",2000
3809,Chauncey Billups,"$3,100,080","$5,527,002",2000
3810,Mike Bibby,"$3,092,400","$5,513,310",2000
3811,Rick Fox,"$3,033,000","$5,407,408",2000
3812,Steve Francis,"$3,020,520","$5,385,158",2000
3813,Lamond Murray,"$3,000,000","$5,348,574",2000
3814,Derek Fisher,"$3,000,000","$5,348,574",2000
3815,Gerald Wilkins,"$3,000,000","$5,348,574",2000
3816,Eric Snow,"$3,000,000","$5,348,574",2000
3817,Adam Keefe,"$3,000,000","$5,348,574",2000
3818,Ervin Johnson,"$2,951,029","$5,261,265",2000
3819,Brent Price,"$2,944,000","$5,248,733",2000
3820,Greg Minor,"$2,880,000","$5,134,631",2000
3821,Don MacLean,"$2,800,000","$4,992,002",2000
3822,Travis Knight,"$2,800,000","$4,992,002",2000
3823,Antonio Daniels,"$2,794,920","$4,982,945",2000
3824,Raef LaFrentz,"$2,777,160","$4,951,281",2000
3825,Pervis Ellison,"$2,750,000","$4,902,859",2000
3826,Doug Christie,"$2,742,600","$4,889,666",2000
3827,Tracy Murray,"$2,720,000","$4,849,373",2000
3828,Tyrone Nesby,"$2,716,667","$4,843,431",2000
3829,Samaki Walker,"$2,716,667","$4,843,431",2000
3830,Baron Davis,"$2,712,480","$4,835,966",2000
3831,Matt Maloney,"$2,681,250","$4,780,287",2000
3832,Kevin Willis,"$2,625,000","$4,680,002",2000
3833,Terry Cummings,"$2,600,000","$4,635,430",2000
3834,Jerome Williams,"$2,550,000","$4,546,287",2000
3835,Tony Battie,"$2,530,920","$4,512,270",2000
3836,David Wesley,"$2,520,000","$4,492,802",2000
3837,Dean Garrett,"$2,520,000","$4,492,802",2000
3838,Antawn Jamison,"$2,503,800","$4,463,919",2000
3839,Walter McCarty,"$2,500,000","$4,457,145",2000
3840,Eddie Jones,"$2,500,000","$4,457,145",2000
3841,Anthony Peeler,"$2,495,500","$4,449,122",2000
3842,Jaren Jackson Jr,"$2,483,333","$4,427,430",2000
3843,Lamar Odom,"$2,445,480","$4,359,943",2000
3844,Jalen Rose,"$2,437,500","$4,345,716",2000
3845,Cedric Henderson,"$2,400,000","$4,278,859",2000
3846,Lawrence Funderburke,"$2,400,000","$4,278,859",2000
3847,James Robinson,"$2,376,667","$4,237,259",2000
3848,Lindsey Hunter,"$2,350,000","$4,189,716",2000
3849,Mark Strickland,"$2,302,400","$4,104,852",2000
3850,Bimbo Coles,"$2,300,000","$4,100,573",2000
3851,Ron Mercer,"$2,298,840","$4,098,505",2000
3852,Malik Rose,"$2,285,000","$4,073,830",2000
3853,Dino Radja,"$2,270,500","$4,047,979",2000
3854,Vince Carter,"$2,267,280","$4,042,238",2000
3855,Erick Strickland,"$2,240,000","$3,993,601",2000
3856,Jonathan Bender,"$2,214,600","$3,948,317",2000
3857,Carlos Rogers,"$2,100,000","$3,744,001",2000
3858,Joe Smith,"$2,100,000","$3,744,001",2000
3859,Dell Curry,"$2,100,000","$3,744,001",2000
3860,Tim Thomas,"$2,098,560","$3,741,434",2000
3861,Dale Ellis,"$2,095,250","$3,735,533",2000
3862,Billy Owens,"$2,090,000","$3,726,173",2000
3863,Scot Pollard,"$2,063,680","$3,679,248",2000
3864,Robert Traylor,"$2,059,320","$3,671,475",2000
3865,Othella Harrington,"$2,025,000","$3,610,287",2000
3866,Wally Szczerbiak,"$2,011,440","$3,586,111",2000
3867,Chris Crawford,"$2,000,000","$3,565,716",2000
3868,Calbert Cheaney,"$2,000,000","$3,565,716",2000
3869,Elliot Perry,"$2,000,000","$3,565,716",2000
3870,Jamie Feick,"$2,000,000","$3,565,716",2000
3871,Mark Bryant,"$2,000,000","$3,565,716",2000
3872,Gary Trent,"$2,000,000","$3,565,716",2000
3873,George McCloud,"$2,000,000","$3,565,716",2000
3874,Eric Montross,"$2,000,000","$3,565,716",2000
3875,Michael Curry,"$2,000,000","$3,565,716",2000
3876,Shandon Anderson,"$2,000,000","$3,565,716",2000
3877,Eric Piatkowski,"$2,000,000","$3,565,716",2000
3878,Ron Harper,"$2,000,000","$3,565,716",2000
3879,Grant Long,"$2,000,000","$3,565,716",2000
3880,Otis Thorpe,"$2,000,000","$3,565,716",2000
3881,J.R. Reid,"$2,000,000","$3,565,716",2000
3882,Sam Mitchell,"$2,000,000","$3,565,716",2000
3883,John Wallace,"$2,000,000","$3,565,716",2000
3884,Bo Outlaw,"$2,000,000","$3,565,716",2000
3885,George Lynch,"$2,000,000","$3,565,716",2000
3886,Rodney Rogers,"$2,000,000","$3,565,716",2000
3887,Detlef Schrempf,"$2,000,000","$3,565,716",2000
3888,Terry Porter,"$2,000,000","$3,565,716",2000
3889,Olden Polynice,"$2,000,000","$3,565,716",2000
3890,Cory Alexander,"$1,980,000","$3,530,058",2000
3891,Steve Kerr,"$1,968,750","$3,510,001",2000
3892,Jim Jackson,"$1,925,000","$3,432,001",2000
3893,LaPhonso Ellis,"$1,925,000","$3,432,001",2000
3894,Hot Rod Williams,"$1,925,000","$3,432,001",2000
3895,Sam Perkins,"$1,925,000","$3,432,001",2000
3896,Eric Murdock,"$1,925,000","$3,432,001",2000
3897,Cherokee Parks,"$1,925,000","$3,432,001",2000
3898,Clarence Weatherspoon,"$1,925,000","$3,432,001",2000
3899,Vinny Del Negro,"$1,925,000","$3,432,001",2000
3900,Kurt Thomas,"$1,925,000","$3,432,001",2000
3901,Terry Davis,"$1,925,000","$3,432,001",2000
3902,Mario Elie,"$1,925,000","$3,432,001",2000
3903,Alvin Williams,"$1,925,000","$3,432,001",2000
3904,Adonal Foyle,"$1,922,520","$3,427,580",2000
3905,Lucious Harris,"$1,920,000","$3,423,087",2000
3906,Sean Rooks,"$1,920,000","$3,423,087",2000
3907,Yinka Dare,"$1,893,500","$3,375,841",2000
3908,Jason Williams,"$1,879,920","$3,351,630",2000
3909,Kevin Gamble,"$1,868,750","$3,331,715",2000
3910,Richard Hamilton,"$1,836,240","$3,273,755",2000
3911,Tom Hammonds,"$1,800,000","$3,209,144",2000
3912,Tracy McGrady,"$1,767,120","$3,150,524",2000
3913,Keith Askins,"$1,752,400","$3,124,280",2000
3914,Larry Hughes,"$1,722,240","$3,070,509",2000
3915,A.C. Green,"$1,700,000","$3,030,858",2000
3916,Duane Causwell,"$1,696,387","$3,024,417",2000
3917,Andre Miller,"$1,682,280","$2,999,266",2000
3918,Andrew DeClercq,"$1,680,000","$2,995,201",2000
3919,Keith Closs,"$1,680,000","$2,995,201",2000
3920,Chris Whitney,"$1,680,000","$2,995,201",2000
3921,Danny Fortson,"$1,678,800","$2,993,062",2000
3922,Tim Legler,"$1,629,000","$2,904,275",2000
3923,Duane Ferrell,"$1,625,000","$2,897,144",2000
3924,Aaron McKie,"$1,624,000","$2,895,361",2000
3925,B.J. Tyler,"$1,614,000","$2,877,532",2000
3926,Brian Shaw,"$1,610,000","$2,870,400",2000
3927,Greg Foster,"$1,603,861","$2,859,456",2000
3928,Tariq Abdul-Wahad,"$1,594,920","$2,843,515",2000
3929,Dirk Nowitzki,"$1,583,040","$2,822,335",2000
3930,Howard Eisley,"$1,560,000","$2,781,258",2000
3931,Shawn Marion,"$1,546,320","$2,756,868",2000
3932,Lorenzo Williams,"$1,540,000","$2,745,601",2000
3933,Austin Croshere,"$1,515,120","$2,701,243",2000
3934,Paul Pierce,"$1,503,960","$2,681,347",2000
3935,Dickey Simpkins,"$1,500,000","$2,674,287",2000
3936,Jason Terry,"$1,468,920","$2,618,875",2000
3937,Derek Anderson,"$1,439,400","$2,566,245",2000
3938,Vernon Maxwell,"$1,430,000","$2,549,486",2000
3939,Bonzi Wells,"$1,428,720","$2,547,204",2000
3940,Trajan Langdon,"$1,394,280","$2,485,803",2000
3941,Maurice Taylor,"$1,367,400","$2,437,880",2000
3942,Michael Doleac,"$1,357,320","$2,419,908",2000
3943,Matt Bullard,"$1,333,333","$2,377,143",2000
3944,Aleksandar Radojevic,"$1,325,760","$2,363,641",2000
3945,Predrag Stojakovic,"$1,310,400","$2,336,257",2000
3946,Kelvin Cato,"$1,299,000","$2,315,932",2000
3947,Keon Clark,"$1,289,400","$2,298,817",2000
3948,Corey Maggette,"$1,259,400","$2,245,331",2000
3949,John Crotty,"$1,237,000","$2,205,395",2000
3950,Brevin Knight,"$1,234,080","$2,200,189",2000
3951,Michael Dickerson,"$1,224,960","$2,183,929",2000
3952,Randy Brown,"$1,200,000","$2,139,429",2000
3953,Harvey Grant,"$1,200,000","$2,139,429",2000
3954,Gary Grant,"$1,200,000","$2,139,429",2000
3955,William Avery,"$1,196,520","$2,133,225",2000
3956,Johnny Taylor,"$1,172,400","$2,090,222",2000
3957,Matt Harpring,"$1,163,760","$2,074,818",2000
3958,Tony Massenburg,"$1,150,000","$2,050,286",2000
3959,Chris Anstey,"$1,113,720","$1,985,604",2000
3960,Bryce Drew,"$1,105,560","$1,971,056",2000
3961,Johnny Newman,"$1,100,000","$1,961,143",2000
3962,Eldridge Recasner,"$1,100,000","$1,961,143",2000
3963,Jud Buechler,"$1,100,000","$1,961,143",2000
3964,Derek Harper,"$1,100,000","$1,961,143",2000
3965,Zan Tabak,"$1,100,000","$1,961,143",2000
3966,Dennis Scott,"$1,100,000","$1,961,143",2000
3967,Rex Walters,"$1,100,000","$1,961,143",2000
3968,Malik Sealy,"$1,100,000","$1,961,143",2000
3969,Anthony Johnson,"$1,100,000","$1,961,143",2000
3970,Corie Blount,"$1,100,000","$1,961,143",2000
3971,Greg Anthony,"$1,100,000","$1,961,143",2000
3972,Aaron Williams,"$1,100,000","$1,961,143",2000
3973,Metta World Peace,"$1,079,760","$1,925,058",2000
3974,Radoslav Nesterovic,"$1,050,240","$1,872,428",2000
3975,Cal Bowdler,"$1,025,880","$1,828,998",2000
3976,Paul Grant,"$1,021,080","$1,820,440",2000
3977,Sherman Douglas,"$1,000,000","$1,782,858",2000
3978,Scott Burrell,"$1,000,000","$1,782,858",2000
3979,Don Reid,"$1,000,000","$1,782,858",2000
3980,Eddie Johnson,"$1,000,000","$1,782,858",2000
3981,Antoine Carr,"$1,000,000","$1,782,858",2000
3982,Jelani McCoy,"$1,000,000","$1,782,858",2000
3983,Jerome Kersey,"$1,000,000","$1,782,858",2000
3984,Anthony Parker,"$980,280","$1,747,700",2000
3985,James Posey,"$974,520","$1,737,430",2000
3986,Pat Garrity,"$952,800","$1,698,707",2000
3987,Frederic Weis,"$947,200","$1,688,723",2000
3988,Ed Gray,"$941,040","$1,677,740",2000
3989,Quincy Lewis,"$930,720","$1,659,341",2000
3990,Roshown McLeod,"$914,760","$1,630,887",2000
3991,Bobby Jackson,"$903,360","$1,610,562",2000
3992,Ruben Patterson,"$900,000","$1,604,572",2000
3993,Ben Wallace,"$893,750","$1,593,429",2000
3994,Dion Glover,"$893,400","$1,592,805",2000
3995,Ricky Davis,"$878,160","$1,565,634",2000
3996,Jeff Foster,"$857,760","$1,529,264",2000
3997,Brian Skinner,"$843,000","$1,502,949",2000
3998,John Thomas,"$832,560","$1,484,336",2000
3999,Mirsad Turkcan,"$830,745","$1,481,100",2000
4000,Kenny Thomas,"$823,440","$1,468,076",2000
4001,Tyronn Lue,"$809,280","$1,442,831",2000
4002,Fred Hoiberg,"$800,000","$1,426,286",2000
4003,Jon Barry,"$800,000","$1,426,286",2000
4004,Devean George,"$790,440","$1,409,242",2000
4005,Jacque Vaughn,"$781,800","$1,393,838",2000
4006,Charles Smith,"$779,960","$1,390,557",2000
4007,Keith Booth,"$776,880","$1,385,066",2000
4008,Hubert Davis,"$752,500","$1,341,600",2000
4009,Al Harrington,"$745,800","$1,329,655",2000
4010,Sam Jacobson,"$743,727","$1,325,959",2000
4011,Tim James,"$728,520","$1,298,847",2000
4012,Rodrick Rhodes,"$722,000","$1,287,222",2000
4013,Vonteego Cummings,"$704,400","$1,255,845",2000
4014,Vladimir Stepania,"$700,320","$1,248,571",2000
4015,Corey Benjamin,"$696,000","$1,240,869",2000
4016,Nazr Mohammed,"$690,960","$1,231,883",2000
4017,Jumaine Jones,"$684,000","$1,219,474",2000
4018,Scott Padgett,"$679,800","$1,211,986",2000
4019,Efthimios Rentzias,"$658,700","$1,174,368",2000
4020,Andrei Kirilenko,"$632,400","$1,127,479",2000
4021,Eddie Robinson,"$600,000","$1,069,714",2000
4022,Doug Overton,"$592,000","$1,055,451",2000
4023,Darrick Martin,"$572,500","$1,020,686",2000
4024,Eric Washington,"$550,000","$980,571",2000
4025,Dwayne Schintzius,"$550,000","$980,571",2000
4026,Ansu Sesay,"$535,000","$953,829",2000
4027,Toby Bailey,"$535,000","$953,829",2000
4028,Gheorghe Muresan,"$510,000","$909,257",2000
4029,Jack Haley,"$510,000","$909,257",2000
4030,Michael Cage,"$510,000","$909,257",2000
4031,Chucky Brown,"$510,000","$909,257",2000
4032,Bruce Bowen,"$510,000","$909,257",2000
4033,BJ Armstrong,"$510,000","$909,257",2000
4034,Terry Mills,"$510,000","$909,257",2000
4035,Joe Dumars,"$510,000","$909,257",2000
4036,Tony Farmer,"$510,000","$909,257",2000
4037,Thomas Hamilton,"$510,000","$909,257",2000
4038,LaSalle Thompson,"$510,000","$909,257",2000
4039,Anthony Avent,"$510,000","$909,257",2000
4040,John Salley,"$510,000","$909,257",2000
4041,Byron Scott,"$510,000","$909,257",2000
4042,Blue Edwards,"$510,000","$909,257",2000
4043,Ed Pinckney,"$510,000","$909,257",2000
4044,Willie Anderson,"$510,000","$909,257",2000
4045,Haywoode Workman,"$510,000","$909,257",2000
4046,Jerome Allen,"$510,000","$909,257",2000
4047,Ricky Pierce,"$510,000","$909,257",2000
4048,David Wingate,"$510,000","$909,257",2000
4049,Andrew Lang,"$510,000","$909,257",2000
4050,Emanual Davis,"$510,000","$909,257",2000
4051,Chuck Person,"$510,000","$909,257",2000
4052,Monty Williams,"$510,000","$909,257",2000
4053,Rick Mahorn,"$510,000","$909,257",2000
4054,Oliver Miller,"$510,000","$909,257",2000
4055,Todd Day,"$510,000","$909,257",2000
4056,Mark West,"$510,000","$909,257",2000
4057,Antonio Harvey,"$510,000","$909,257",2000
4058,Joe Kleine,"$510,000","$909,257",2000
4059,Bill Wennington,"$510,000","$909,257",2000
4060,Tyrone Corbin,"$510,000","$909,257",2000
4061,Felton Spencer,"$510,000","$909,257",2000
4062,Muggsy Bogues,"$510,000","$909,257",2000
4063,Pete Chilcutt,"$510,000","$909,257",2000
4064,Thurl Bailey,"$510,000","$909,257",2000
4065,John Coker,"$510,000","$909,257",2000
4066,Reggie Jordan,"$510,000","$909,257",2000
4067,Pooh Richardson,"$505,882","$901,915",2000
4068,Shammond Williams,"$500,000","$891,429",2000
4069,Todd Fuller,"$485,000","$864,686",2000
4070,Roy Rogers,"$485,000","$864,686",2000
4071,Amal McCaskill,"$485,000","$864,686",2000
4072,Rick Brunson,"$485,000","$864,686",2000
4073,Fred Vinson,"$485,000","$864,686",2000
4074,Randy Livingston,"$485,000","$864,686",2000
4075,Tony Delk,"$485,000","$864,686",2000
4076,Michael Hawkins,"$465,029","$829,080",2000
4077,James Cotton,"$460,000","$820,114",2000
4078,Mikki Moore,"$460,000","$820,114",2000
4079,Mark Pope,"$460,000","$820,114",2000
4080,Troy Hudson,"$460,000","$820,114",2000
4081,DeJuan Wheat,"$460,000","$820,114",2000
4082,Darvin Ham,"$460,000","$820,114",2000
4083,Jeff McInnis,"$460,000","$820,114",2000
4084,Jerald Honeycutt,"$460,000","$820,114",2000
4085,Andrew Gaze,"$460,000","$820,114",2000
4086,Gerard King,"$460,000","$820,114",2000
4087,Leon Smith,"$449,920","$802,143",2000
4088,Kevin Ollie,"$425,088","$757,871",2000
4089,Michael Ruffin,"$401,875","$716,486",2000
4090,Jeffrey Sheppard,"$385,000","$686,400",2000
4091,Adrian Griffin,"$385,000","$686,400",2000
4092,Brad Miller,"$385,000","$686,400",2000
4093,Ryan Stack,"$385,000","$686,400",2000
4094,Bruno Sundov,"$385,000","$686,400",2000
4095,Cuttino Mobley,"$385,000","$686,400",2000
4096,Brent Scott,"$385,000","$686,400",2000
4097,Mate Skelin,"$385,000","$686,400",2000
4098,Charles Jones,"$385,000","$686,400",2000
4099,Shea Seals,"$385,000","$686,400",2000
4100,Anthony Carter,"$385,000","$686,400",2000
4101,Andrae Patterson,"$385,000","$686,400",2000
4102,Rashard Lewis,"$385,000","$686,400",2000
4103,Chucky Atkins,"$385,000","$686,400",2000
4104,John Amaechi,"$385,000","$686,400",2000
4105,Makhtar N'Diaye,"$385,000","$686,400",2000
4106,Miles Simon,"$385,000","$686,400",2000
4107,Gerald Brown,"$385,000","$686,400",2000
4108,Nikita Morgunov,"$385,000","$686,400",2000
4109,Sean Marks,"$385,000","$686,400",2000
4110,Jahidi White,"$385,000","$686,400",2000
4111,Marty Conlon,"$343,588","$612,567",2000
4112,Sam Mack,"$315,000","$561,600",2000
4113,Jermaine Jackson,"$302,875","$539,983",2000
4114,Evan Eschmeyer,"$301,875","$538,200",2000
4115,Ryan Bowen,"$301,875","$538,200",2000
4116,Chris Herren,"$301,875","$538,200",2000
4117,Tim Young,"$301,875","$538,200",2000
4118,Shannon Smith,"$301,875","$538,200",2000
4119,John Celestand,"$301,875","$538,200",2000
4120,Milt Palacio,"$301,875","$538,200",2000
4121,Obinna Ekezie,"$301,875","$538,200",2000
4122,Harold Jamison,"$301,875","$538,200",2000
4123,Rodney Buford,"$301,875","$538,200",2000
4124,Rafer Alston,"$301,875","$538,200",2000
4125,Lazaro Borrell,"$301,875","$538,200",2000
4126,Todd MacCulloch,"$301,875","$538,200",2000
4127,Ryan Robertson,"$301,875","$538,200",2000
4128,Derrick Dial,"$301,875","$538,200",2000
4129,Calvin Booth,"$301,875","$538,200",2000
4130,Laron Profit,"$301,875","$538,200",2000
4131,Jamie Watson,"$250,000","$445,714",2000
4132,Dominique Wilkins,"$250,000","$445,714",2000
4133,Danny Schayes,"$211,765","$377,546",2000
4134,Kornel David,"$202,941","$361,814",2000
4135,Damon Jones,"$176,647","$314,936",2000
4136,Mitchell Butler,"$150,000","$267,428",2000
4137,Dedric Willoughby,"$134,956","$240,607",2000
4138,Benoit Benjamin,"$123,529","$220,234",2000
4139,A.J. Bramlett,"$118,974","$212,113",2000
4140,Bill Curley,"$117,867","$210,140",2000
4141,Randell Jackson,"$115,500","$205,920",2000
4142,Rick Hughes,"$115,423","$205,782",2000
4143,DeMarco Johnson,"$111,871","$199,450",2000
4144,Mark Davis,"$106,000","$188,982",2000
4145,Stanley Roberts,"$102,824","$183,320",2000
4146,Corey Brewer,"$100,000","$178,285",2000
4147,Jermaine Walker,"$100,000","$178,285",2000
4148,Lou Roe,"$97,412","$173,671",2000
4149,Lari Ketner,"$92,338","$164,625",2000
4150,Chris Carr,"$90,000","$160,456",2000
4151,Joe Stephens,"$88,441","$157,677",2000
4152,Earl Boykins,"$88,324","$157,469",2000
4153,Devin Gray,"$88,223","$157,289",2000
4154,Drew Barry,"$62,765","$111,901",2000
4155,Mark Hendrickson,"$62,764","$111,899",2000
4156,Kiwane Garris,"$61,147","$109,016",2000
4157,Jamel Thomas,"$58,599","$104,473",2000
4158,Eric Riley,"$50,206","$89,510",2000
4159,Adrian Caldwell,"$50,000","$89,142",2000
4160,Terry Dehere,"$50,000","$89,142",2000
4161,Derek Hood,"$49,721","$88,645",2000
4162,Greg Buckner,"$47,647","$84,947",2000
4163,Ben Davis,"$45,847","$81,738",2000
4164,Marcus Brown,"$43,294","$77,187",2000
4165,Rusty Larue,"$40,588","$72,362",2000
4166,Tyrone Grant,"$37,290","$66,482",2000
4167,Brandon Williams,"$35,176","$62,713",2000
4168,Bakari Hendrix,"$31,706","$56,527",2000
4169,Khalid Reeves,"$30,309","$54,036",2000
4170,Wayne Turner,"$30,000","$53,485",2000
4171,Anthony Miller,"$30,000","$53,485",2000
4172,Casey Shaw,"$25,000","$44,571",2000
4173,LaMarcus Golden,"$25,000","$44,571",2000
4174,Mike Brown,"$25,000","$44,571",2000
4175,Art Long,"$25,000","$44,571",2000
4176,Jason Lawson,"$25,000","$44,571",2000
4177,Maceo Baston,"$20,000","$35,657",2000
4178,Brett Robisch,"$20,000","$35,657",2000
4179,Kebu Stewart,"$18,941","$33,769",2000
4180,Jason Miskiri,"$15,982","$28,493",2000
4181,Louis Bullock,"$10,000","$17,828",2000
4182,Robert Werdann,"$7,471","$13,319",2000
4183,Jimmy Oliver,"$7,471","$13,319",2000
4184,John Morton,"$6,735","$12,007",2000
4185,Andy Panko,"$5,000","$8,914",2000
4186,Jonathan Kerner,"$5,000","$8,914",2000
4187,Ira Bowman,"$4,529","$8,074",2000
4188,Trevor Winter,"$4,529","$8,074",2000
4189,Steve Goodrich,"$4,529","$8,074",2000
4190,Jason Sasser,"$2,706","$4,824",2000
4191,Kevin Garnett,"$19,610,000","$33,704,516",2001
4192,Shaquille O'Neal,"$19,285,715","$33,147,154",2001
4193,Alonzo Mourning,"$16,880,000","$29,012,353",2001
4194,Juwan Howard,"$16,875,000","$29,003,759",2001
4195,Hakeem Olajuwon,"$16,700,000","$28,702,979",2001
4196,Karl Malone,"$15,750,000","$27,070,175",2001
4197,David Robinson,"$14,700,000","$25,265,497",2001
4198,Dikembe Mutombo,"$14,400,000","$24,749,874",2001
4199,Patrick Ewing,"$14,000,000","$24,062,378",2001
4200,Jayson Williams,"$13,800,000","$23,718,629",2001
4201,Scottie Pippen,"$13,750,000","$23,632,692",2001
4202,Rasheed Wallace,"$12,600,000","$21,656,140",2001
4203,Gary Payton,"$12,200,000","$20,968,643",2001
4204,Tim Hardaway,"$12,000,000","$20,624,895",2001
4205,Chris Webber,"$12,000,000","$20,624,895",2001
4206,Shawn Kemp,"$11,720,000","$20,143,648",2001
4207,Damon Stoudamire,"$11,250,000","$19,335,839",2001
4208,Arvydas Sabonis,"$11,250,000","$19,335,839",2001
4209,Larry Johnson,"$11,000,000","$18,906,154",2001
4210,John Stockton,"$11,000,000","$18,906,154",2001
4211,Antonio McDyess,"$10,800,000","$18,562,406",2001
4212,Reggie Miller,"$10,670,000","$18,338,969",2001
4213,Antoine Walker,"$10,130,000","$17,410,849",2001
4214,Stephon Marbury,"$10,130,000","$17,410,849",2001
4215,Zydrunas Ilgauskas,"$10,130,000","$17,410,849",2001
4216,Kobe Bryant,"$10,130,000","$17,410,849",2001
4217,Shareef Abdur-Rahim,"$10,130,000","$17,410,849",2001
4218,Ray Allen,"$10,130,000","$17,410,849",2001
4219,Vin Baker,"$10,130,000","$17,410,849",2001
4220,Allen Iverson,"$10,130,000","$17,410,849",2001
4221,Anfernee Hardaway,"$10,130,000","$17,410,849",2001
4222,Latrell Sprewell,"$10,125,000","$17,402,255",2001
4223,Bryant Reeves,"$10,110,000","$17,376,474",2001
4224,Mitch Richmond,"$10,000,000","$17,187,412",2001
4225,Rod Strickland,"$10,000,000","$17,187,412",2001
4226,Jalen Rose,"$9,660,000","$16,603,040",2001
4227,Grant Hill,"$9,660,000","$16,603,040",2001
4228,Tracy McGrady,"$9,660,000","$16,603,040",2001
4229,Tim Duncan,"$9,660,000","$16,603,040",2001
4230,Vlade Divac,"$9,640,000","$16,568,666",2001
4231,Tom Gugliotta,"$9,360,000","$16,087,418",2001
4232,Nick Van Exel,"$9,200,000","$15,812,419",2001
4233,Keith Van Horn,"$9,000,000","$15,468,671",2001
4234,Allan Houston,"$9,000,000","$15,468,671",2001
4235,Eddie Jones,"$8,960,000","$15,399,922",2001
4236,Brian Grant,"$8,900,000","$15,296,797",2001
4237,Tim Thomas,"$8,510,000","$14,626,488",2001
4238,Michael Finley,"$8,400,000","$14,437,426",2001
4239,Shawn Bradley,"$8,370,000","$14,385,864",2001
4240,Terrell Brandon,"$8,330,000","$14,317,115",2001
4241,Glenn Robinson,"$8,120,000","$13,956,179",2001
4242,Steve Smith,"$8,100,000","$13,921,804",2001
4243,Elden Campbell,"$8,050,000","$13,835,867",2001
4244,Danny Manning,"$8,030,000","$13,801,492",2001
4245,Derrick Coleman,"$8,000,000","$13,749,930",2001
4246,Avery Johnson,"$8,000,000","$13,749,930",2001
4247,Theo Ratliff,"$7,800,000","$13,406,182",2001
4248,Kerry Kittles,"$7,770,000","$13,354,619",2001
4249,Jason Kidd,"$7,680,000","$13,199,933",2001
4250,Glen Rice,"$7,578,900","$13,026,168",2001
4251,Kenny Anderson,"$7,520,000","$12,924,934",2001
4252,Matt Geiger,"$7,515,840","$12,917,784",2001
4253,Tyrone Hill,"$7,300,000","$12,546,811",2001
4254,Kendall Gill,"$7,000,000","$12,031,189",2001
4255,Clifford Robinson,"$6,890,000","$11,842,127",2001
4256,Christian Laettner,"$6,625,000","$11,386,661",2001
4257,Horace Grant,"$6,500,000","$11,171,818",2001
4258,Jamal Mashburn,"$6,200,000","$10,656,196",2001
4259,Chris Dudley,"$6,200,000","$10,656,196",2001
4260,Toni Kukoc,"$6,000,000","$10,312,447",2001
4261,Dale Davis,"$6,000,000","$10,312,447",2001
4262,Bryant Stith,"$5,920,000","$10,174,948",2001
4263,Alan Henderson,"$5,910,000","$10,157,761",2001
4264,Charles Oakley,"$5,760,000","$9,899,949",2001
4265,Marcus Camby,"$5,750,000","$9,882,762",2001
4266,Luc Longley,"$5,750,000","$9,882,762",2001
4267,PJ Brown,"$5,740,000","$9,865,575",2001
4268,Jermaine O'Neal,"$5,710,000","$9,814,012",2001
4269,Donyell Marshall,"$5,630,000","$9,676,513",2001
4270,Erick Dampier,"$5,610,000","$9,642,138",2001
4271,Wesley Person,"$5,600,000","$9,624,951",2001
4272,Chris Gatling,"$5,550,000","$9,539,014",2001
4273,Anthony Mason,"$5,550,000","$9,539,014",2001
4274,Ron Mercer,"$5,520,000","$9,487,451",2001
4275,Steve Nash,"$5,500,000","$9,453,077",2001
4276,Isaac Austin,"$5,500,000","$9,453,077",2001
